School,G,W,L,W-L%,SOS,FG%,3P%,FT%,Pace,PP100 Poss.,TS%,TRB%,AST%,STL%,eFG%,TOV%,RPI,Tournament?,auto.bid
Saint Marys College,33,27,6,0.818,0.78,0.473,0.344,0.729,64.8,114.9,0.576,55.4,60.7,10.6,0.541,15.3,30,1,1
Saint Peters,31,5,26,0.161,-2.44,0.406,0.315,0.648,65.7,88.3,0.48,45.7,58.4,11.6,0.453,20.7,301,0,0
Sam Houston State,32,13,19,0.406,-3.2,0.416,0.297,0.598,64.5,90.5,0.492,50.9,62.1,8.9,0.463,20.7,274,0,0
Samford,30,11,19,0.367,-2.96,0.444,0.334,0.655,63.9,102.7,0.542,47.1,58.8,8.3,0.521,17.5,267,0,0
San Diego State,34,26,8,0.765,3.79,0.453,0.341,0.701,66.6,105.1,0.54,53.2,48.3,8.2,0.505,16.1,31,1,0
San Diego,31,13,18,0.419,0.87,0.451,0.363,0.656,67.3,99.3,0.538,47.2,56.6,9.9,0.512,18.2,191,0,0
San Francisco,34,20,14,0.588,-0.17,0.467,0.351,0.687,69.5,107.8,0.558,50.7,51.9,12,0.528,16.3,149,0,0
San Jose State,31,9,22,0.29,-1.19,0.395,0.331,0.746,65.7,100.6,0.503,47.3,58.2,7.2,0.459,14.2,278,0,0
Santa Clara,30,8,22,0.267,0.96,0.409,0.364,0.708,67.2,102.6,0.514,47.5,53.6,7.4,0.478,14.8,302,0,0
Savannah State,33,21,12,0.636,-5.92,0.417,0.328,0.589,65,97,0.493,53.4,56.6,10.7,0.47,18.9,188,0,0
Seattle University,27,12,15,0.444,-2.76,0.435,0.33,0.696,75.4,101,0.514,52.5,47.9,11.1,0.488,17.2,275,0,0
Seton Hall,34,21,13,0.618,5.7,0.435,0.353,0.674,66,102.4,0.526,50.7,57.1,12.5,0.497,16.5,70,0,0
Siena,31,14,17,0.452,-2.94,0.424,0.307,0.681,65.9,96.2,0.502,51,54.5,8.8,0.467,18.3,214,0,0
South Alabama,29,17,12,0.586,-1.98,0.425,0.34,0.7,65.7,100.2,0.509,55.3,47.4,7.4,0.467,19.9,169,0,0
South Carolina State,31,5,26,0.161,-6.11,0.395,0.285,0.651,69.6,92,0.469,49.6,45.4,8.8,0.433,18.8,343,0,0
South Carolina Upstate,34,21,13,0.618,-1.6,0.439,0.337,0.637,69.1,102.8,0.515,53,49.5,12.1,0.49,18,133,0,0
South Carolina,31,10,21,0.323,6.27,0.402,0.326,0.701,62.2,98.3,0.493,48.5,44.8,11,0.462,17.1,192,0,0
South Dakota State,35,27,8,0.771,-1.87,0.468,0.39,0.727,66.1,114.9,0.576,51.5,54.5,10.1,0.54,13.8,50,1,1
South Dakota,28,10,18,0.357,-2.88,0.451,0.358,0.7,69.2,101.4,0.542,48,56.2,9.4,0.511,16.8,292,0,0
South Florida,36,22,14,0.611,7.29,0.437,0.316,0.705,59.7,98.6,0.521,53,54.8,9.2,0.485,19.3,39,1,0
Southeast Missouri State,31,15,16,0.484,-5.33,0.475,0.369,0.63,65.8,107.1,0.547,51.9,56.4,7.6,0.528,16.9,248,0,0
Southeastern Louisiana,29,12,17,0.414,-6.44,0.411,0.301,0.591,65.4,90,0.479,51,51,9.3,0.453,19.9,318,0,0
USC,32,6,26,0.188,6.58,0.387,0.271,0.611,60.9,85.7,0.45,42.7,47.5,9.4,0.426,15.6,265,0,0
SIU Edwardsville,27,10,17,0.37,-5.5,0.441,0.397,0.655,67.9,96.7,0.533,47.4,52.7,8.3,0.505,20.1,300,0,0
Southern Illinois,31,8,23,0.258,3.12,0.414,0.282,0.64,66,94.2,0.486,49.2,51.2,11.1,0.454,18.1,256,0,0
SMU,32,13,19,0.406,1.34,0.419,0.341,0.673,60.3,97.4,0.53,45.8,59.2,11.3,0.5,18.4,216,0,0
Southern Miss,34,25,9,0.735,3.61,0.415,0.358,0.736,64.5,107.9,0.517,53.3,45.7,9.1,0.469,14,26,1,0
Southern Utah,31,14,17,0.452,-3.18,0.474,0.297,0.723,64.6,100.6,0.54,52,58.7,8.3,0.499,18.8,233,0,0
Southern,31,17,14,0.548,-11.35,0.41,0.314,0.685,66,90.8,0.496,45.7,51.9,8.8,0.455,18.8,279,0,0
Saint Bonaventure,32,20,12,0.625,2.84,0.456,0.345,0.761,65,107.1,0.557,54.2,57.7,8.8,0.508,18.5,76,1,1
Saint Francis (NY),30,15,15,0.5,-6.75,0.431,0.356,0.663,70.1,98.7,0.53,51.6,53.9,9.7,0.502,20,210,0,0
Saint Johns,32,13,19,0.406,6.98,0.42,0.282,0.68,67.2,98.7,0.497,47.4,45.6,11.8,0.456,16.7,155,0,0
Stanford,37,26,11,0.703,3.99,0.445,0.379,0.666,67.6,104.5,0.535,53.4,50.6,9.7,0.505,17.2,69,0,0
Stephen F. Austin,32,20,12,0.625,-5.67,0.447,0.287,0.632,61.8,98.9,0.511,55.8,61,11.5,0.481,18.7,204,0,0
Stetson,29,9,20,0.31,-0.66,0.441,0.343,0.695,72,98.8,0.541,50.2,59.3,8.9,0.51,21.2,263,0,0
Stony Brook,32,22,10,0.688,-6.22,0.427,0.329,0.693,62.5,105.8,0.514,56.2,46,8.8,0.482,16.2,145,0,0
Syracuse,37,34,3,0.919,8.02,0.467,0.349,0.698,65.2,113.3,0.55,48.8,56.1,14,0.521,13.6,2,1,0
Temple,32,24,8,0.75,4.94,0.469,0.397,0.719,67.6,108.8,0.563,50.6,57.3,10.4,0.531,16,22,1,0
Tennessee-Martin,31,4,27,0.129,-3.15,0.413,0.286,0.703,66.2,93.5,0.491,48.1,57.5,9,0.45,19.6,326,0,0
Tennessee State,33,20,13,0.606,-2.73,0.437,0.346,0.689,66.5,100.6,0.532,51.8,53.6,11.1,0.494,19.1,112,0,0
Tennessee Tech,33,19,14,0.576,-3.06,0.464,0.35,0.712,68.6,103.7,0.555,51.4,54.7,9.9,0.515,19.2,141,0,0
Tennessee,34,19,15,0.559,6.58,0.438,0.353,0.702,65.3,103.4,0.536,52.1,53.9,8.5,0.5,17.8,90,0,0
Texas A&M-Corpus Christi,30,6,24,0.2,-3.04,0.396,0.306,0.6,66,87.9,0.47,47.7,55.3,8.6,0.44,19.8,319,0,0
Texas A&M,32,14,18,0.438,6.54,0.432,0.33,0.657,63.3,96.2,0.506,51.3,51.2,9,0.48,18.3,166,0,0
Texas-Arlington,33,24,9,0.727,-5.09,0.447,0.354,0.703,72.2,106.1,0.55,53.5,52.5,10.9,0.508,18.9,107,0,0
TCU,33,18,15,0.545,3.44,0.435,0.358,0.691,68.9,102.8,0.534,49.1,54.3,9.8,0.498,17.1,119,0,0
UTEP,32,15,17,0.469,2.85,0.458,0.34,0.683,62.2,99.1,0.537,49.6,61.5,7.4,0.503,18.8,147,0,0
Texas-Pan American,32,11,21,0.344,-4.44,0.415,0.365,0.705,66.5,93.6,0.523,46,62.5,7.7,0.486,20.7,316,0,0
Texas-San Antonio,32,18,14,0.563,-4.4,0.447,0.394,0.743,68.3,105,0.562,48.2,54.6,11.8,0.523,17.7,198,0,0
Texas Southern,33,15,18,0.455,-8.68,0.413,0.33,0.63,66.2,91.7,0.503,50.2,48.4,12.6,0.468,22,234,0,0
Texas State,30,13,17,0.433,-5.31,0.432,0.361,0.712,74.8,102.2,0.534,48.2,52.6,11,0.499,17.3,288,0,0
Texas Tech,31,8,23,0.258,6.1,0.438,0.357,0.702,65.4,90.6,0.527,48.3,53.6,7.9,0.486,23.5,240,0,0
Texas,34,20,14,0.588,8.12,0.434,0.328,0.733,66.7,108.1,0.533,52,50.1,10.1,0.485,15.7,57,1,0
Toledo,36,19,17,0.528,-3.64,0.455,0.369,0.726,66.2,104.9,0.55,49.2,53.8,10.5,0.511,17.9,241,0,0
Towson,32,1,31,0.031,1.54,0.367,0.27,0.586,63.3,81.3,0.436,51.5,45,8.7,0.401,23.7,311,0,0
Troy,28,10,18,0.357,-0.85,0.41,0.345,0.676,68.5,103.2,0.506,47.9,49.9,9.7,0.481,15.1,259,0,0
Tulane,31,15,16,0.484,-1.61,0.422,0.337,0.662,64.3,99.7,0.513,50.5,55,10.9,0.478,17,251,0,0
Tulsa,31,17,14,0.548,2.85,0.45,0.384,0.681,64.3,102.2,0.544,54.2,48.6,7.3,0.507,19.4,121,0,0
UCLA,33,19,14,0.576,5.28,0.461,0.373,0.668,65.2,105.2,0.533,52.2,55.8,12.1,0.507,15.8,123,0,0
Utah State,37,21,16,0.568,-0.37,0.475,0.367,0.719,63.5,108.2,0.567,50.5,55.5,6.2,0.53,16.8,134,0,0
Utah Valley,33,20,13,0.606,-7.11,0.424,0.316,0.698,67.3,102.6,0.511,52.8,54.1,9.5,0.473,15.8,221,0,0
Utah,31,6,25,0.194,5.49,0.405,0.306,0.666,62.6,88.2,0.494,45.7,52.8,8.2,0.46,20.1,270,0,0
Valparaiso,34,22,12,0.647,0.02,0.467,0.34,0.715,64.9,104.5,0.573,51.1,59.3,9.2,0.535,19.4,100,0,0
Vanderbilt,36,25,11,0.694,8.04,0.461,0.388,0.699,65.5,109.7,0.572,51.1,51.8,9,0.541,17.4,17,1,1
Vermont,36,24,12,0.667,-5.19,0.443,0.34,0.739,63.2,105,0.536,52.5,56,9.6,0.493,16.6,129,1,1
Villanova,32,13,19,0.406,7.64,0.412,0.315,0.754,67.5,103.2,0.517,52.9,51.7,8.1,0.465,17.1,120,0,0
Virginia Commonwealth,36,29,7,0.806,0.63,0.41,0.334,0.685,65.1,103.7,0.512,48.7,51.7,16.1,0.476,14.7,34,1,1
VMI,33,17,16,0.515,-5.16,0.445,0.319,0.719,75,105.9,0.553,45.3,49.1,11,0.515,15.7,257,0,0
Virginia Tech,33,16,17,0.485,6.21,0.42,0.365,0.725,63.1,102.4,0.516,49.7,51.2,8.7,0.477,15.9,118,0,0
Virginia,32,22,10,0.688,4.23,0.457,0.33,0.722,61.1,101.9,0.543,52.1,54.6,10.5,0.507,16.8,59,1,0
Wagner,31,25,6,0.806,-5.5,0.441,0.36,0.743,68.6,107,0.543,50.4,51.3,11.5,0.499,16.6,93,0,0
Wake Forest,31,13,18,0.419,4.19,0.427,0.333,0.736,66.4,98.5,0.527,46.9,52.5,7.9,0.479,17.2,182,0,0
Washington State,37,19,18,0.514,4.06,0.468,0.366,0.709,63.7,106.6,0.568,51.5,58.7,7.5,0.531,18.1,144,0,0
Washington,35,24,11,0.686,5.27,0.448,0.343,0.623,70.7,106.2,0.522,53.4,49.2,9.3,0.498,15.5,54,0,0
Weber State,32,25,7,0.781,-3.65,0.459,0.391,0.814,67.2,113.6,0.586,50.2,51.4,8.2,0.538,14,73,0,0
West Virginia,33,19,14,0.576,7.53,0.438,0.298,0.671,64.8,106.8,0.518,54.7,56.9,9.6,0.483,15.9,61,1,0
Western Carolina,35,17,18,0.486,-3.42,0.423,0.352,0.69,67.9,103.9,0.519,50,42.9,11.8,0.486,16.1,220,0,0
Western Illinois,33,18,15,0.545,-1.39,0.458,0.395,0.686,60,100.7,0.54,48.6,56.7,9.9,0.511,16.8,159,0,0
Western Kentucky,35,16,19,0.457,0.51,0.394,0.306,0.687,68.4,94.2,0.489,50.2,50.1,8.1,0.444,18.9,171,1,1
Western Michigan,34,14,20,0.412,0.17,0.435,0.338,0.709,66,102.8,0.532,53.4,56.1,7,0.491,18.6,208,0,0
Wichita State,33,27,6,0.818,3.8,0.482,0.371,0.748,67.1,113.3,0.577,54.7,53.2,9.3,0.543,15.6,18,1,0
William & Mary,32,6,26,0.188,-0.72,0.406,0.321,0.711,63.4,94.8,0.51,47.1,51.8,7.6,0.472,18,297,0,0
Winthrop,32,12,20,0.375,-3.47,0.421,0.31,0.656,64.1,98,0.494,50.7,46.3,10.4,0.464,16.1,272,0,0
Wisconsin,36,26,10,0.722,8.24,0.425,0.368,0.739,58.6,108.4,0.536,51.8,53.7,8.5,0.501,13.1,16,1,0
Wofford,33,19,14,0.576,-3.79,0.434,0.328,0.665,62.5,101.6,0.519,51.8,59.6,8.3,0.494,15.9,178,0,0
Wright State,32,13,19,0.406,0.25,0.398,0.344,0.704,62.8,91.7,0.502,46.3,51,10.4,0.459,19.2,226,0,0
Wyoming,33,21,12,0.636,1.43,0.448,0.327,0.739,61.5,101.6,0.552,49.1,52.5,11.1,0.51,17.3,92,0,0
Xavier,36,23,13,0.639,6.22,0.453,0.351,0.695,67.4,103.8,0.535,51.5,52.4,8.8,0.497,16.2,38,1,0
Yale,29,19,10,0.655,-2.63,0.432,0.346,0.711,67.1,101.8,0.53,53.3,56.5,7.7,0.488,18.1,108,0,0
Youngstown State,31,16,15,0.516,-1.65,0.431,0.381,0.648,64.7,103.7,0.531,46.9,54.3,9.9,0.51,15.1,175,0,0
