School,G,W,L,W-L%,SOS,FG%,3P%,FT%,Pace,PP100 Poss.,TS%,TRB%,AST%,STL%,eFG%,TOV%,RPI,Tournament?,Auto.bid
Rhode Island,34,20,14,0.588,1.9,0.422,0.337,0.701,66.9,101.5,0.516,48.9,50.1,9.8,0.484,15.7,100,0,0
Rice,32,14,18,0.438,2.67,0.427,0.327,0.723,64.5,102.9,0.525,51.8,56.7,10.4,0.477,16.3,182,0,0
Richmond,37,29,8,0.784,2.79,0.459,0.39,0.687,63.2,109.5,0.557,48.5,59.4,9.3,0.531,14.3,33,1,1
Rider,34,23,11,0.676,-2.67,0.467,0.391,0.649,68.6,105.8,0.556,49.2,53.8,8.7,0.535,17.5,107,0,0
Robert Morris,32,18,14,0.563,-2.61,0.42,0.357,0.685,65.6,101.4,0.514,50.4,58,11.4,0.48,16.9,99,0,0
Rutgers,32,15,17,0.469,7.22,0.44,0.344,0.677,64.4,101.8,0.519,49.2,55.4,12.1,0.49,16.1,124,0,0
Sacramento State,28,7,21,0.25,-4.05,0.401,0.306,0.681,64.6,94,0.494,50.7,58,9.3,0.453,19.2,330,0,0
Sacred Heart,29,11,18,0.379,-6.12,0.429,0.345,0.702,67.1,98,0.521,49.6,51.2,11.4,0.482,19.7,274,0,0
Saint Francis (PA),30,9,21,0.3,-3.84,0.431,0.333,0.727,67.3,96.5,0.526,47.8,58.8,8.3,0.484,20.1,259,0,0
Saint Josephs,33,11,22,0.333,3.46,0.415,0.328,0.707,63.9,100.2,0.51,46.9,55.3,7.9,0.473,15,167,0,0
Saint Louis,31,12,19,0.387,3.06,0.437,0.326,0.656,64.7,97.3,0.516,48.8,58.9,9.9,0.488,18,184,0,0
Saint Marys College,34,25,9,0.735,1.95,0.485,0.39,0.759,67.1,117.2,0.593,53.1,59.3,10.6,0.559,14.5,53,0,0
Saint Peters,34,20,14,0.588,-1.08,0.4,0.344,0.644,65.5,92.5,0.49,49.3,53.7,11.8,0.455,19.7,93,1,1
Sam Houston State,31,18,13,0.581,-3.9,0.44,0.296,0.661,68.6,101.2,0.524,53.1,70,11.5,0.493,18,174,0,0
Samford,31,12,19,0.387,-4.22,0.428,0.354,0.675,62.2,96.7,0.549,42.8,65.2,9.4,0.522,19.8,284,0,0
San Diego State,37,34,3,0.919,6.36,0.463,0.349,0.697,63.7,112,0.543,54.9,50.4,9.6,0.515,14.2,3,1,1
San Diego,30,6,24,0.2,3.18,0.422,0.331,0.679,65.6,92.4,0.511,44.7,52.7,7.8,0.476,19.9,318,0,0
San Francisco,34,19,15,0.559,3.06,0.438,0.337,0.688,68.6,100.8,0.533,52.3,51.9,7.7,0.498,18.2,111,0,0
San Jose State,33,17,16,0.515,-0.08,0.404,0.372,0.754,68.1,103.2,0.507,51,50.2,7.7,0.456,13.5,153,0,0
Santa Clara,38,24,14,0.632,1.25,0.43,0.351,0.726,68.2,107.3,0.544,53.2,53.6,10.5,0.495,17.3,120,0,0
Savannah State,30,12,18,0.4,-2.44,0.41,0.311,0.661,64.8,92.4,0.497,49.3,49.4,11,0.463,19.8,258,0,0
Seattle University,31,11,20,0.355,-2.36,0.4,0.303,0.657,74.6,92.4,0.482,50.2,47.2,11.2,0.446,19.8,286,0,0
Seton Hall,31,13,18,0.419,9.33,0.413,0.306,0.672,68.5,97.7,0.495,48.7,55.6,10.6,0.464,15.4,104,0,0
Siena,31,13,18,0.419,-1.71,0.414,0.334,0.679,68.2,98.3,0.493,52.1,49.6,9.6,0.457,17.4,202,0,0
South Alabama,28,12,16,0.429,-4.34,0.423,0.333,0.665,69.1,100.8,0.509,50.1,49.9,10,0.472,17.2,278,0,0
South Carolina State,32,10,22,0.313,-8.57,0.429,0.318,0.675,67.8,96.8,0.511,50.9,50.4,8.8,0.479,20.3,335,0,0
South Carolina Upstate,30,5,25,0.167,-0.94,0.372,0.291,0.6,64.6,89,0.459,47.7,54.6,8.9,0.436,18.9,311,0,0
South Carolina,30,14,16,0.467,5.6,0.395,0.313,0.663,68.1,97.5,0.478,50.1,44.1,10,0.45,16.1,139,0,0
South Dakota State,31,19,12,0.613,-4.04,0.465,0.411,0.728,69.2,118,0.57,50.4,53.3,8.8,0.538,12.3,187,0,0
South Dakota,33,18,15,0.545,-10.48,0.455,0.349,0.668,73.4,107,0.544,49.7,51.9,9,0.516,14.8,314,0,0
South Florida,33,10,23,0.303,8.89,0.416,0.303,0.71,62.8,97.1,0.506,52,57.2,7.7,0.462,19.9,159,0,0
