School,G,W,L,W-L%,SOS,FG%,3P%,FT%,Pace,PP100 Poss.,TS%,TRB%,AST%,STL%,eFG%,TOV%,RPI
Temple,34,24,10,0.706,5.2,0.428,0.328,0.723,67.6,106.8,0.529,48.9,58.4,11.6,0.49,13.7,40
Tennessee-Martin,30,9,21,0.3,-4.19,0.394,0.334,0.742,69.5,94.7,0.493,49.4,54.3,9.7,0.442,18.3,313
Tennessee State,33,18,15,0.545,-1.3,0.439,0.337,0.748,68.8,103.2,0.543,52,54,10.4,0.496,19.1,108
Tennessee Tech,29,12,17,0.414,-3.31,0.426,0.319,0.708,66.2,97.8,0.523,50.9,52.3,9.6,0.484,20.9,242
Tennessee,33,20,13,0.606,6.03,0.43,0.316,0.69,63.1,103.5,0.521,54,47,6.6,0.479,17,66
Texas A&M-Corpus Christi,29,6,23,0.207,-3.65,0.406,0.298,0.68,63.3,95,0.486,47.3,49.8,10,0.451,16.5,322
Texas A&M,33,18,15,0.545,4.86,0.44,0.356,0.705,61.7,101.1,0.522,50.9,49.5,10.2,0.488,18,105
Texas-Arlington,33,19,14,0.576,-0.9,0.412,0.342,0.652,66.6,96.5,0.497,52.4,54.8,11.4,0.464,18.7,135
TCU,32,11,21,0.344,4.41,0.401,0.311,0.601,61.7,89.2,0.47,49.3,51,8.7,0.438,18.9,239
UTEP,32,18,14,0.563,2.38,0.449,0.351,0.677,61.8,101.7,0.541,48.6,60.6,8.5,0.506,17.5,97
Texas-Pan American,32,16,16,0.5,-8.18,0.431,0.374,0.637,66,97.2,0.52,46.9,55.8,10,0.493,18.7,304
Texas-San Antonio,32,10,22,0.313,-1,0.401,0.334,0.676,65.2,97.8,0.505,47.2,46.5,9.5,0.469,17.7,262
Texas Southern,31,17,14,0.548,-7.25,0.44,0.356,0.636,65.2,106.1,0.538,49.6,56.3,7.7,0.519,15.5,186
Texas State,34,12,22,0.353,-0.9,0.42,0.331,0.706,71.6,98.1,0.517,46.3,49.8,10.4,0.477,17,274
Texas Tech,31,11,20,0.355,4.31,0.421,0.288,0.667,68.2,95.4,0.501,48,47.7,12,0.465,18.6,214
Texas,34,16,18,0.471,6.55,0.413,0.297,0.659,66.7,95.9,0.497,50.6,50.4,9.4,0.459,18.4,121
Toledo,28,15,13,0.536,-3.04,0.429,0.335,0.761,66.5,102.7,0.531,47.6,55.2,10.5,0.483,15.6,193
Towson,31,18,13,0.581,-2.59,0.439,0.32,0.654,65.3,102.5,0.52,54.5,41.8,7.7,0.488,18.6,154
Troy,33,12,21,0.364,-4.01,0.397,0.312,0.679,61.9,97.6,0.48,47.5,49.3,8.5,0.453,14,279
Tulane,35,20,15,0.571,-1.8,0.416,0.349,0.727,65.2,106.8,0.527,53.1,51,10.2,0.475,15.9,173
Tulsa,33,17,16,0.515,0.95,0.434,0.336,0.67,67.8,99.1,0.527,51.1,51,9.4,0.491,18.7,124
UCLA,35,25,10,0.714,7.82,0.451,0.333,0.724,69.6,105.4,0.528,48.9,58.2,11.5,0.491,13.8,32
