 ,G,W,L,W-L%,SOS,FG%,3P%,FT%,Pace,PP100 Poss.,TS%,TRB%,AST%,STL%,eFG%,TOV%,RPI,Tournament?
SIU Edwardsville,31,11,20,0.355,-5.33,0.47,0.378,0.665,69.1,105.2,0.56,47.7,54.1,9.9,0.535,17.7,318,0
Southern Illinois,33,14,19,0.424,0.23,0.455,0.33,0.672,63.6,104.7,0.534,51.5,42.3,11.2,0.498,16.5,201,0
SMU,37,27,10,0.73,4.97,0.483,0.379,0.683,66,107.6,0.561,53.5,59.8,11.6,0.528,17.6,45,0
Southern Miss,36,29,7,0.806,-0.08,0.463,0.349,0.679,65.3,110,0.555,55,58.1,12.5,0.517,17.3,29,0
Southern Utah,29,2,27,0.069,-3.19,0.404,0.327,0.689,65.1,90.2,0.493,44.3,53,6.8,0.449,19,346,0
Southern,32,19,13,0.594,-7.95,0.452,0.339,0.618,68.1,103.7,0.527,52.6,50.9,9.1,0.503,16.6,176,0
Saint Bonaventure,33,18,15,0.545,2.64,0.455,0.326,0.716,68.2,107.5,0.538,52,51.8,10.2,0.496,16,86,0
Saint Francis (NY),32,18,14,0.563,-5.9,0.431,0.315,0.683,67,101.8,0.519,52.2,51.1,8.3,0.485,16.7,187,0
Saint Johns,33,20,13,0.606,6.56,0.445,0.349,0.699,67.3,106.1,0.524,50.3,50.1,9.9,0.487,13.5,82,0
Stanford,36,23,13,0.639,9,0.459,0.364,0.702,67.1,108,0.553,51.3,46.3,7.9,0.513,14.9,40,1
Stephen F. Austin,35,32,3,0.914,-6.76,0.463,0.345,0.711,65.5,115.2,0.561,53.8,62.3,11.1,0.525,14.4,47,1
Stetson,31,7,24,0.226,-4.97,0.42,0.294,0.663,64.1,95.8,0.502,45.1,54.2,8.7,0.468,16.9,334,0
Stony Brook,34,23,11,0.676,-6.47,0.453,0.355,0.72,66.4,106.9,0.54,54.2,50.5,8.8,0.501,16.1,169,0
Syracuse,34,28,6,0.824,7.25,0.437,0.331,0.708,60.5,111.6,0.522,52.8,49.1,13.1,0.482,12.3,20,1
Temple,31,9,22,0.29,6.88,0.428,0.338,0.707,68.4,105.9,0.515,48.5,50.8,8.3,0.48,12.9,174,0
Tennessee-Martin,31,8,23,0.258,-4.82,0.424,0.343,0.725,71.2,104.3,0.524,46.5,53.8,10.6,0.482,14.2,327,0
Tennessee State,30,5,25,0.167,-1.99,0.429,0.293,0.7,66.8,102.4,0.519,49.5,44.4,8.1,0.474,15.9,298,0
Tennessee Tech,33,17,16,0.515,-4.57,0.454,0.327,0.677,69,104.3,0.542,52.3,49.6,10.8,0.505,18.7,211,0
Tennessee,37,24,13,0.649,7.84,0.453,0.325,0.719,62.8,114.2,0.545,56.2,50.9,8.2,0.503,13.8,37,1
Texas A&M-Corpus Christi,34,18,16,0.529,-6.69,0.474,0.365,0.663,63.9,107.8,0.549,51.7,50.8,10.3,0.516,16.3,233,0
Texas A&M,34,18,16,0.529,3.62,0.425,0.317,0.642,64,99.2,0.51,48,56.7,9.8,0.479,15.3,147,0
Texas-Arlington,32,15,17,0.469,-0.92,0.437,0.346,0.706,70.4,106.4,0.546,50.3,47.9,7.1,0.506,16.3,204,0
TCU,31,9,22,0.29,7.9,0.403,0.322,0.732,66.6,95.5,0.503,43.2,54.1,9,0.448,15.8,215,0
UTEP,34,23,11,0.676,0.05,0.465,0.33,0.684,65.1,105.3,0.55,51.2,57.5,7.6,0.509,17.7,111,0
Texas-Pan American,32,9,23,0.281,-4.42,0.413,0.279,0.661,66.9,96.3,0.491,46.7,53,10.3,0.455,15.6,312,0
Texas-San Antonio,30,8,22,0.267,-1.03,0.423,0.331,0.69,68.2,100.6,0.532,50.9,48.3,8.8,0.482,19.8,308,0
Texas Southern,34,19,15,0.559,-10.07,0.462,0.36,0.718,68.2,109.8,0.565,52.2,55.5,6.6,0.521,16.8,250,1
Texas State,31,8,23,0.258,-1.4,0.435,0.306,0.663,63.3,96.5,0.51,51.2,49.4,9.2,0.48,18.7,307,0
Texas Tech,32,14,18,0.438,8.61,0.456,0.311,0.728,63.5,107.2,0.538,52.4,46.7,9.6,0.497,16.1,130,0
Texas,35,24,11,0.686,9.15,0.432,0.327,0.671,69.1,107,0.514,54.6,49.9,8.2,0.474,14.6,41,1
Toledo,34,27,7,0.794,-1.46,0.465,0.345,0.725,68.6,114.6,0.557,51.7,54.7,9.8,0.514,12.7,43,0
Towson,36,25,11,0.694,-3.06,0.454,0.357,0.687,65.5,111.3,0.552,53.6,40.9,6.2,0.51,15,84,0
Troy,31,11,20,0.355,-2.9,0.416,0.34,0.661,65.7,102.5,0.519,50.1,48.8,8.8,0.481,16.2,287,0
Tulane,34,17,17,0.5,-1.73,0.413,0.351,0.694,63.5,99.9,0.522,49.9,45.2,7.5,0.474,17.6,224,0
Tulsa,34,21,13,0.618,1.17,0.44,0.327,0.676,68.7,105,0.532,50.3,51.1,9.9,0.492,14.7,79,1
UCLA,37,28,9,0.757,7.62,0.489,0.38,0.749,70,115.1,0.579,51.2,59.3,13.1,0.541,12.9,15,1
Utah State,32,18,14,0.563,3.09,0.452,0.406,0.734,62.8,109.4,0.551,54.4,65.2,5.4,0.515,15.1,120,0
Utah Valley,32,20,12,0.625,-3.65,0.436,0.347,0.755,63.8,105.4,0.544,50.9,62,7.8,0.498,15.3,150,0
Utah,33,21,12,0.636,6.21,0.488,0.351,0.743,66.7,111.4,0.583,52.7,58,10,0.545,15.9,83,0
Valparaiso,34,18,16,0.529,-0.24,0.468,0.373,0.734,66.3,107,0.577,53.1,53.8,8.3,0.535,19.5,195,0
Vanderbilt,31,15,16,0.484,6.49,0.431,0.319,0.658,64.3,99.6,0.524,48.9,58.6,7.2,0.491,18,121,0
Vermont,33,22,11,0.667,-4.57,0.469,0.4,0.725,64.1,110,0.57,53.6,54,11.2,0.527,16.4,100,0
Villanova,34,29,5,0.853,7.5,0.456,0.356,0.716,67.6,113.2,0.574,52.6,60.1,10.1,0.536,15.1,8,1
Virginia Commonwealth,35,26,9,0.743,4.78,0.42,0.349,0.674,70.3,105.2,0.512,50.6,49.8,15.7,0.479,14.4,19,1
VMI,35,22,13,0.629,-6.33,0.446,0.325,0.713,75.8,113.9,0.544,49.5,45.1,9.4,0.51,11.7,167,0
Virginia Tech,31,9,22,0.29,5.99,0.406,0.361,0.648,63.6,97.8,0.504,51.8,50.8,5.1,0.471,17,244,0
Virginia,37,30,7,0.811,7.86,0.454,0.369,0.673,60.5,108.9,0.542,54.7,56.6,8.6,0.508,14.2,10,1
Wagner,31,19,12,0.613,-6.73,0.42,0.335,0.73,69.5,102.1,0.51,51.6,45.9,9,0.465,15.6,214,0
Wake Forest,33,17,16,0.515,6.73,0.451,0.329,0.65,67.5,103,0.534,49.1,56.1,8.1,0.498,16.2,117,0
Washington State,31,10,21,0.323,7.24,0.4,0.328,0.658,63,98.2,0.505,49.4,49.7,8.1,0.472,15.8,221,0
Washington,32,17,15,0.531,6.45,0.446,0.339,0.758,68.6,107.7,0.542,51.1,51.1,7.8,0.496,14.4,102,0
Weber State,31,19,12,0.613,-4.23,0.475,0.392,0.741,64.3,111.3,0.592,52.5,55.6,6.5,0.547,16.9,148,1
West Virginia,33,17,16,0.515,8.02,0.439,0.381,0.721,68.5,111.8,0.544,49.6,49.9,9,0.504,12.3,92,0
Western Carolina,34,19,15,0.559,-6.43,0.425,0.351,0.716,68.1,107.4,0.526,51.1,47.8,10.5,0.486,14.8,218,0
Western Illinois,30,10,20,0.333,-2.74,0.455,0.34,0.664,62.5,97.1,0.532,49.6,55.9,9.5,0.503,19,291,0
Western Kentucky,32,20,12,0.625,-1.34,0.414,0.337,0.656,66.6,101.8,0.517,52.5,49.3,7.6,0.481,17.1,129,0
Western Michigan,33,23,10,0.697,-1.45,0.463,0.329,0.724,66.5,106.5,0.568,51.3,48.3,8.7,0.52,18.4,70,1
Wichita State,36,35,1,0.972,1.74,0.461,0.351,0.725,64.5,116.1,0.569,55.3,54.8,10.6,0.526,13.8,6,1
William & Mary,32,20,12,0.625,-2.29,0.476,0.399,0.694,64.7,112.6,0.587,47.9,56,8.5,0.56,14.4,124,0
Winthrop,33,20,13,0.606,-6.56,0.445,0.397,0.713,67.4,107.7,0.556,48.7,46,9.3,0.519,16,177,0
Wisconsin,38,30,8,0.789,10.19,0.459,0.376,0.746,63.3,115.7,0.575,51.1,50.5,7.6,0.533,11.4,3,1
Wofford,33,20,13,0.606,-5.95,0.448,0.36,0.664,63,105.6,0.529,51,52.4,9.8,0.502,14.5,152,1
Wright State,36,21,15,0.583,-2.8,0.456,0.361,0.739,65.9,102,0.561,48.3,60.3,10.7,0.517,18.4,165,0
Wyoming,33,18,15,0.545,2.34,0.472,0.351,0.716,60.7,104.8,0.572,46.6,56.9,7.6,0.534,15.9,141,0
Xavier,34,21,13,0.618,8.14,0.47,0.348,0.688,65.7,108.5,0.551,53.2,57.2,8.7,0.517,16.1,56,1
Yale,33,19,14,0.576,-1.28,0.418,0.329,0.694,64.9,102.6,0.519,53.8,52.6,9.4,0.469,16.9,104,0
Youngstown State,32,15,17,0.469,-1.26,0.459,0.35,0.735,68.8,109.6,0.567,49.3,59.7,9.5,0.527,14.3,242,0
